date,name,share
2020-03-02,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.0589467
2020-03-02,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.6985581
2020-03-02,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,152.6150271
2020-03-02,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.557138
2020-03-02,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.34059426
2020-03-02,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.24968389
2020-03-02,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19875578
2020-03-02,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0150758
2020-03-03,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.999358324
2020-03-03,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.65157895
2020-03-03,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.0330077
2020-03-03,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.72964427
2020-03-03,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,152.878704
2020-03-03,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5585014
2020-03-03,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.33225407
2020-03-03,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.24876027
2020-03-03,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.20109907
2020-03-03,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0135645
2020-03-04,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.999056015
2020-03-04,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.67193899
2020-03-04,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.026093
2020-03-04,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.76421735
2020-03-04,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,153.5424734
2020-03-04,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.574817
2020-03-04,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.33370458
2020-03-04,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.26363344
2020-03-04,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.20549594
2020-03-04,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0156518
2020-03-05,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.999446633
2020-03-05,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.66281987
2020-03-05,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.060049
2020-03-05,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.75615973
2020-03-05,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,154.2819553
2020-03-05,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.567283
2020-03-05,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.32290359
2020-03-05,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.24982951
2020-03-05,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.20681798
2020-03-05,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0078109
2020-03-06,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,1.002870099
2020-03-06,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.65087461
2020-03-06,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.1915701
2020-03-06,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.75075434
2020-03-06,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,153.8516753
2020-03-06,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5568099
2020-03-06,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.30719307
2020-03-06,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.23655756
2020-03-06,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.20299501
2020-03-06,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0026476
2020-03-09,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,1.033983552
2020-03-09,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.62567955
2020-03-09,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.102358
2020-03-09,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.71821506
2020-03-09,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,153.9775381
2020-03-09,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5396352
2020-03-09,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.27404816
2020-03-09,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.19910806
2020-03-09,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19771228
2020-03-09,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9914559
2020-03-10,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.986705497
2020-03-10,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.63485164
2020-03-10,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.0987471
2020-03-10,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.71371946
2020-03-10,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,153.211379
2020-03-10,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5457662
2020-03-10,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.27910898
2020-03-10,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.20321735
2020-03-10,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19274442
2020-03-10,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9952056
2020-03-11,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.991379964
2020-03-11,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.63308263
2020-03-11,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.1583507
2020-03-11,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.67954579
2020-03-11,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,154.8163245
2020-03-11,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5257051
2020-03-11,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.26598355
2020-03-11,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.19262565
2020-03-11,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19791261
2020-03-11,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9940456
2020-03-12,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.989768324
2020-03-12,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.61337842
2020-03-12,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.342341
2020-03-12,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.6100953
2020-03-12,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,157.3825059
2020-03-12,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4634436
2020-03-12,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.24365383
2020-03-12,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.15594632
2020-03-12,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.20167961
2020-03-12,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9816514
2020-03-13,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.955738152
2020-03-13,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.63441217
2020-03-13,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.2900213
2020-03-13,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.62538605
2020-03-13,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,155.5944225
2020-03-13,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5076372
2020-03-13,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.21936913
2020-03-13,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.19250581
2020-03-13,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19530731
2020-03-13,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9931596
2020-03-16,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.972139918
2020-03-16,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.63687933
2020-03-16,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.2917032
2020-03-16,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.66204623
2020-03-16,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,157.9870211
2020-03-16,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4913992
2020-03-16,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.21493253
2020-03-16,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.17937625
2020-03-16,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19768435
2020-03-16,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9940154
2020-03-17,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.959729366
2020-03-17,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.63496614
2020-03-17,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.2453546
2020-03-17,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.66827038
2020-03-17,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,157.2800311
2020-03-17,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4923051
2020-03-17,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19064451
2020-03-17,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.20317981
2020-03-17,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19058593
2020-03-17,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9943293
2020-03-18,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.954793455
2020-03-18,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.58609069
2020-03-18,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.0225676
2020-03-18,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.66913478
2020-03-18,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,158.2624146
2020-03-18,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4605984
2020-03-18,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.16923339
2020-03-18,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.17583039
2020-03-18,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18713737
2020-03-18,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9917206
2020-03-19,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.955148461
2020-03-19,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.6040372
2020-03-19,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.1095213
2020-03-19,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.6766638
2020-03-19,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,158.1028044
2020-03-19,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4538703
2020-03-19,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.14616504
2020-03-19,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.18622348
2020-03-19,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18820784
2020-03-19,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.996621
2020-03-20,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.969176811
2020-03-20,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.58974972
2020-03-20,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.1293898
2020-03-20,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.67329773
2020-03-20,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,157.6613253
2020-03-20,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4425133
2020-03-20,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.1387042
2020-03-20,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.18289867
2020-03-20,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18795853
2020-03-20,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0037173
2020-03-23,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.972613093
2020-03-23,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.58674002
2020-03-23,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.175649
2020-03-23,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.70711203
2020-03-23,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,157.8542933
2020-03-23,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4401074
2020-03-23,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.1669022
2020-03-23,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.16747904
2020-03-23,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18861151
2020-03-23,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0029113
2020-03-24,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.950934558
2020-03-24,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.57893337
2020-03-24,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.1466575
2020-03-24,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.70417324
2020-03-24,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,156.2575025
2020-03-24,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.4339298
2020-03-24,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.16252613
2020-03-24,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.19126757
2020-03-24,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18677377
2020-03-24,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0119937
2020-03-25,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.947692055
2020-03-25,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.60009472
2020-03-25,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.2077897
2020-03-25,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.70733718
2020-03-25,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,154.9104839
2020-03-25,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.440442
2020-03-25,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.16943172
2020-03-25,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.20876315
2020-03-25,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18688812
2020-03-25,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0124455
